language,Fast-greedy,Louvain,Leiden,Infomap
afr,2,1,1,0
alb,0,1,0,0
ara,0,1,0,0
arm,0,1,0,0
aze,0,1,0,0
baq,0,1,0,0
bas,0,1,0,0
bel,0,1,0,0
ben,0,1,0,0
bnt,0,1,0,0
bos,0,1,0,0
bre,0,1,0,0
bul,1,0,1,0
cat,2,1,0,0
chi,0,1,0,0
cze,1,0,1,0
dan,2,0,1,0
dsb,0,1,0,0
dut,1,0,1,0
eng,1,0,1,0
epo,0,1,0,0
est,0,1,0,0
fao,0,1,0,0
fin,2,1,0,0
fre,1,0,1,0
fry,0,1,0,0
geo,0,1,0,0
ger,0,1,0,0
gla,0,1,0,0
gle,0,1,0,0
glg,0,1,0,0
gre,2,0,1,0
gsw,1,0,1,0
heb,2,1,0,0
hin,0,1,0,0
hrv,2,0,1,0
hun,1,0,1,0
ice,0,1,0,0
ind,0,1,0,0
ita,1,0,1,0
jpn,2,0,1,0
kaz,1,0,0,0
kir,1,0,1,0
kor,0,1,0,0
kur,0,1,0,0
lat,0,1,0,0
lav,0,1,0,0
lit,0,1,0,0
ltz,0,1,0,0
mac,0,1,0,0
mal,0,1,0,0
may,0,1,0,0
mlt,1,0,1,0
mon,0,1,0,0
mul,2,1,0,0
nds,0,1,0,0
nno,0,1,0,0
nor,2,1,1,0
oci,0,1,0,0
per,0,1,0,0
pol,1,0,1,0
por,2,0,1,0
roh,0,1,0,0
rum,0,1,0,0
rus,1,0,1,0
sin,0,1,0,0
slo,0,1,0,0
slv,2,0,1,0
spa,1,0,1,0
srp,2,1,1,0
swa,1,0,0,0
swe,2,0,1,0
tha,0,1,0,0
tir,0,1,0,0
tur,1,0,1,0
ukr,0,1,0,0
urd,0,1,0,0
vie,0,1,0,0
wel,0,1,0,0
wln,0,1,0,0
yid,0,1,0,0
