author,language
"Lindemann,Till",fin
"Broch,Hermann",ita
"Hesse,Hermann",geo
"Hess,Annette",por
"Jacobs,Anne",hun
"Handke,Peter",por
"Handke,Peter",eng
"Butschkow,Ralf",hun
"Jacobs,Anne",hun
"Sperling,Rolf",gsw
"Lavant,Christine",dut
"Kietzke,Bernd",gsw
"Hausmann,Romy",swe
"Fitzek,Sebastian",est
"Kasten,Mona",spa
"Kasten,Mona",spa
"Musil,Robert",eng
"Bomann,Corina",dut
"Kliesch,Vincent",gre
"Lark,Sarah",cat
"Ewers,HannsHeinz",bul
"Zweig,Stefan",bul
"Schalansky,Judith",eng
"Handke,Peter",gre
"Steiner,Rudolf",dut
"Kluge,Alexander",eng
"Link,Charlotte",lit
"Korn,Carmen",ita
"Handke,Peter",baq
"Trelenberg,Thorsten",ger
"Wolf,Christa",spa
"Giordano,Mario",eng
"Knittermeier,Frank",gsw
"Wells,Benedict",nor
"Kasten,Mona",dut
"Handke,Peter",swe
"Werfel,Franz",lit
"Bernhard,Thomas",bul
"Goga-Klinkenberg,Susanne",spa
"Perplies,Bernd",eng
"Celan,Paul",slv
"Bannalec,Jean-Luc",cze
"Kálnay,Juliana",spa
"Mann,Thomas",nor
"Iosivoni,Bianca",rus
"Steiner,Jens",ita
"Kafka,Franz",spa
"Hess,Annette",rum
"Hoffmann,E.T.A.",fre
"Jacobs,Anne",cze
"Peters,Pauline",cze
"Fitzek,Sebastian",slo
"Fitzek,Sebastian",cze
"Raabe,Melanie",pol
"Link,Charlotte",lav
"Marly,Michelle",slv
"Mann,Thomas",spa
"Doehn,UweGeorg",eng
"Ransmayr,Christoph",nor
"Glaser,Brigitte",ita
"Handke,Peter",eng
"Brunner,Bernd",spa
"Link,Charlotte",pol
"Strauß,Simon",swe
"Kaiser,Gunnar",fre
"Haensel,Hubert",cze
"Fitzek,Sebastian",cze
"Meyer,Clemens",eng
"Erb,Elke",ger
"Mohnnau,RalphGünther",ger
"Fricke,Lucy",cze
"Berkel,Christian",dut
"Helfer,Monika",dut
"Tergit,Gabriele",dut
"Lark,Sarah",dut
"Randl,Lola",dut
"Hillenbrand,Tom",dut
"Bernhard,Thomas",dut
"Fitzek,Sebastian",dut
"Sahler,Martina",dut
"Bomann,Corina",dut
"Ahlers,Marieta",nds
"Hausmann,Romy",eng
"Hesse,Hermann",spa
"Braun,Volker",eng
"Buchholz,Simone",dan
"Brecht,Bertolt",nor
"Neuhaus,Nele",slo
"Daly,Leo",ger
"Larson,R.J.",ger
"Spies,Heidi",gsw
"Krenek,Ernst",ger
"Mohnnau,RalphGünther",ger
"Sutcliff,Rosemary",ger
"Grjasnowa,Olga",ita
"Mann,Thomas",spa
"Korn,Carmen",nor
"Wittmann,Dominik",gsw
"Drössler,Sabine",gsw
"Bernhard,Thomas",pol
"Delius,FriedrichChristian",ita
"Roland,Oliver",ger
"Roland,Oliver",ger
"Roland,Oliver",ger
"Goldammer,Frank",dut
"Link,Charlotte",pol
"Röhricht,Martina",gsw
"Jerger,Ilona",ita
"Hess,Annette",gre
"Johnson,Uwe",dut
"Brecht,Bertolt",dan
"Braumann,Franz",ger
"Abel,Winnie",gsw
"Lark,Sarah",spa
"Inusa,Manuela",spa
"Leky,Mariana",spa
"Hesse,Hermann",cat
"Goga-Klinkenberg,Susanne",spa
"Süskind,Patrick",cat
"Schneider,Peter",spa
"Lark,Sarah",spa
"Beer,Alex",spa
"Broch,Hermann",spa
"Wodin,Natascha",fre
"Wetzel,Maike",eng
"Merchant,Judith",lav
"Ani,Friedrich",gre
"Fleißer,Marieluise",dan
"Handke,Peter",spa
"Borrmann,Mechtild",fre
"Schmidt,Arno",dut
"Wodin,Natascha",dut
"Brecht,Bertolt",aze
"Montillon,Christian",cze
"Ellmer,Arndt",cze
"Bernhard,Thomas",ita
"Celan,Paul",nor
"Mayröcker,Friederike",eng
"Kiafas,Giorgos",hun
"Cesaro,Ingo",ger
"Freudenthaler,Laura",dut
"Alahmadi,Galal",ara
"Keun,Irmgard",eng
"Bernhard,Thomas",cat
"Bernard,Caroline",hun
"Salzmann,Marianna",spa
"Böldl,Klaus",nor
"Poschmann,Marion",nor
"Hoddis,Jakobvan",ger
"Lichtenstein,Alfred",ger
"Trakl,Georg",dut
"Velasco,Stefaniede",dut
"Hesse,Hermann",slo
"Neuhaus,Nele",lit
"Kasten,Mona",lav
"Renk,Ulrike",ita
"Bossong,Nora",eng
"Berg,Sibylle",spa
"Kinsky,Esther",eng
"Kinsky,Esther",eng
"Peaston,Angelika",ger
"Schami,Rafik",tur
"Suhr,Geertje",eng
"Handke,Peter",fin
"Hesse,Hermann",tur
"Fitzek,Sebastian",dut
"Lavant,Christine",dut
"Bomann,Corina",dut
"Fallwickl,Mareike",dut
"Bomann,Corina",dut
"Tucholsky,Kurt",dut
"Korn,Carmen",spa
"Kietzke,Bernd",gsw
"Erpenbeck,Jenny",nor
"Lamballe,Marie",cze
"Engel,Kathinka",ita
"Hoffmann,Horst",cze
"Adams,Lilly",slo
"Goga-Klinkenberg,Susanne",ita
"Neuhaus,Nele",ita
"Nikolai,Maria",ita
"Broch,Hermann",ita
"Trojanow,Ilija",ita
"Bomann,Corina",ita
"Neuhaus,Nele",ita
"Strauß,Botho",ita
"Kehlmann,Daniel",ita
"Simon,Teresa",ita
"Nickel,Artur",ger
"Setz,ClemensJ.",hrv
"Handke,Peter",cat
"Handke,Peter",ita
"Bannalec,Jean-Luc",ita
"Schalansky,Judith",cat
"Schalansky,Judith",ita
"Schalansky,Judith",dut
"Erpenbeck,Jenny",pol
"Freudenthaler,Laura",bul
"Berg,Ellen",cze
"Lenze,Ulla",fin
"Krien,Daniela",dan
"Beyer,Marcel",hun
"Heinichen,Veit",fin
"Lamballe,Marie",cze
"Hülsmann,Petra",cze
"Modick,Klaus",est
"Williges,FabianW.",pol
"Bergmann,Brigitte",ger
"Hesse,Hermann",slo
"Hesse,Hermann",por
"Leky,Mariana",lav
"Annas,Max",fre
"Seethaler,Robert",fin
"Kneidl,Laura",rus
"Kneidl,Laura",rus
"Lüscher,Jonas",spa
"Freudenthaler,Laura",bul
"Handke,Peter",srp
"Bayraktar,Mesut",tur
"Safier,David",fre
"Hess,Annette",spa
"Kröhn,Julia",spa
"Kröhn,Julia",ita
"Saller,Tom",fre
"Handke,Peter",ita
"Link,Charlotte",spa
"Chamisso,Adelbertvon",spa
"Fürstenberg,Paula",fre
"Goga-Klinkenberg,Susanne",ita
"Handke,Peter",cat
"Jacobs,Anne",spa
"Kafka,Franz",fre
"Hausmann,Romy",ita
"Mann,Thomas",spa
"Mann,Thomas",spa
"Haushofer,Marlen",spa
"Bernard,Caroline",ita
"Wolf,Daniel",spa
"Hoffmann,E.T.A.",spa
"Bomann,Corina",ita
"Klüpfel,Volker",ita
"Timm,Uwe",ita
"Handke,Peter",ita
"Seghers,Anna",fre
"Revedin,Jana",ita
"Bomann,Corina",ita
"Schätzing,Frank",ita
"Kafka,Franz",spa
"Lucadou,Juliavon",ita
"Johannson,Lena",ita
"Jacobs,Anne",ita
"Berkel,Christian",ita
"Berkel,Christian",ita
"Handke,Peter",fre
"Krien,Daniela",ita
"Lark,Sarah",cat
"Serner,Walter",eng
"Jelinek,Elfriede",ita
"Seethaler,Robert",fre
"Vosseler,NicoleC.",fre
"Scheer,KarlH.",fre
"Fitzek,Sebastian",fre
"Mörike,Eduard",fre
"Scheer,KarlH.",fre
"Berkel,Christian",fre
"Kehlmann,Daniel",fre
"Schimmelpfennig,Roland",fre
"Kirchhofer,Markus",fre
"Lark,Sarah",pol
"Todisco,Vincenzo",fre
"Simon,Lars",pol
"Jacobs,Anne",ita
"Handke,Peter",fre
"Bannalec,Jean-Luc",fre
"Keller,Gottfried",fre
"Neuhaus,Nele",fre
"Bannalec,Jean-Luc",fre
"Bannalec,Jean-Luc",fre
"Taylor,Kathryn",fre
"Hohl,Ludwig",fre
"Zoeke,Barbara",fre
"Jarawan,Pierre",dut
"Krien,Daniela",dut
"Lark,Sarah",fre
"Gilbers,Harald",ita
"Köhler,Karen",ita
"Hänny,Reto",fre
"Hackl,Erich",spa
"Mitchell,Davina",eng
"Engel,Kathinka",ita
"Goldammer,Frank",dan
"Kutscher,Volker",cze
"Marly,Michelle",cze
"Marly,Michelle",swe
"Marly,Michelle",pol
"Inusa,Manuela",bul
"Lamballe,Marie",cze
"Bachmann,Ingeborg",tur
"Handke,Peter",dan
"Hausmann,Romy",swe
"Fitzek,Sebastian",gre
"Enzensberger,HansMagnus",cze
"Enzensberger,HansMagnus",pol
"Busch,Wilhelm",nds
"Ebert,Sabine",cze
"Martinek,Hilly",cze
"Kafka,Franz",ita
Franzobel,dan
"Bomann,Corina",lit
"Celan,Paul",rum
"Enzensberger,HansMagnus",hrv
"Buchholz,Simone",eng
"Knopp,Beate",spa
"Hausmann,Romy",spa
"Celan,Paul",ita
"Bernhard,Thomas",ita
"Zweig,Stefan",spa
"Hausmann,Romy",cze
"Roland,Oliver",ger
"Handke,Peter",swe
"Bobrowski,Johannes",pol
"Enzensberger,HansMagnus",eng
"Handke,Peter",srp
"Modick,Klaus",eng
"Bernhard,Thomas",pol
"Schnitgerhans,Holger",eng
"Welp,Anette",eng
"Buck,Inge",ger
"Wolf,Christa",ara
"Handke,Peter",bul
"Fritsche,Markus",ita
"Kaiser,Gunnar",ita
"Giampietro,Nicoletta",ita
"Drews,Arne",eng
"Huchel,Peter",swe
"Lamballe,Marie",cze
"Bernhard,Thomas",por
"Bachmann,Ingeborg",por
"Fitzek,Sebastian",gre
"Hesse,Hermann",por
"Lehner,Angela",hrv
"Meistermann,Heinz",eng
"Hesse,Hermann",swe
"Zweig,Stefan",bul
"Bernhard,Thomas",eng
"Schlink,Bernhard",tha
"Handke,Peter",eng
"Hackl,Erich",eng
"Jelinek,Elfriede",eng
"Beer,Alex",dut
"Yuan,Kanghan",eng
"Wells,Benedict",dut
"Schlink,Bernhard",jpn
"Haratischwili,Nino",cze
"Hess,Annette",cze
"Levski,MarcusE.",rus
"Erpenbeck,Jenny",fin
"Lucas,Charlotte",slo
"Mann,Klaus",dan
"Knodt,Reinhard",eng
"Bomann,Corina",cze
"Bomann,Corina",cze
"Hoffmann,Sandra",eng
"Fitzek,Sebastian",gre
"Widmer,Urs",slo
"Kafka,Franz",spa
"Schulze,Ingo",slo
"Walser,Robert",fre
"Hoffmann,Heinrich",ger
"Hoffmann,Heinrich",ger
"Koeppen,Wolfgang",eng
"Walser,Robert",per
"Montillon,Christian",cze
"Bronsky,Alina",hrv
"Kleist,Heinrichvon",eng
"Ensafpour,Nahid",eng
"Ewers,HannsHeinz",bul
"Bernhard,Thomas",por
"Lenz,Siegfried",cze
"Wells,Benedict",fre
"Kafka,Franz",rus
"Schlink,Bernhard",lav
"Hoffmann,Horst",cze
"Neuhaus,Nele",fre
"Montillon,Christian",cze
"Celan,Paul",ukr
"Poschmann,Marion",lit
"Williges,FabianW.",por
"Apitz,Bruno",chi
"Roth,Joseph",dut
"Goetz,Rainald",eng
"Kafka,Franz",fre
"Doehn,UweGeorg",eng
"Abel,Winnie",gsw
"Bannalec,Jean-Luc",ita
"Bach,Tabea",ita
"Bernhard,Thomas",ger
"Strauß,Simon",dan
"Safier,David",spa
"Simon,Teresa",cze
"Falk,Rita",hun
"Kasten,Mona",ita
"Kasten,Mona",ita
"Lenz,Siegfried",tur
"Zweig,Stefan",dut
"Spehling,Bernd",gsw
"Doehn,UweGeorg",eng
"Peters,Pauline",rum
"Hausmann,Romy",tur
"Wagner,David",chi
"Fitzek,Sebastian",slo
"Kubelka,Susanna",lit
"Hesse,Hermann",alb
"Hesse,Hermann",cat
"Hesse,Hermann",spa
"Hesse,Hermann",spa
"Hesse,Hermann",aze
"Fitzek,Sebastian",fre
"Hausmann,Romy",dut
"Bánk,Zsuzsa",dut
"Gruber,Andreas",rus
"Voosen,Roman",cze
"Appel,Jörg",gsw
"Uhlmann,Thees",cze
"Handke,Peter",est
"Bernhard,Thomas",ita
"Borrmann,Mechtild",fre
"Dutli,Ralph",eng
"Kasten,Mona",rus
"Kasten,Mona",rus
"Kasten,Mona",rus
"Raabe,Marc",ita
"Zweig,Stefan",bul
"Würger,Takis",cze
"Würger,Takis",swe
"Würger,Takis",fre
"Schimmel,Hans",gsw
"Taylor,Kathryn",cze
"Erpenbeck,Jenny",ita
"Handke,Peter",bul
"Goethe,JohannWolfgangvon",bul
"Jünger,Ernst",swe
"Abel,Winnie",gsw
"Falk,Rita",hun
"Molinari,Gianna",cze
"Mohnnau,RalphGünther",ger
Crow,eng
"Handke,Peter",lit
"Hofer,Bernhard",ita
"Schulz,Tom",gre
"Sachs,Nelly",heb
"Celan,Paul",est
"Hansen,Dörte",pol
"Libera,Leszek",pol
"Handke,Peter",eng
"Ruth,Alexander",eng
"Yuan,Kanghan",eng
"Kim,Anna",eng
"Doehn,UweGeorg",eng
"Vermes,Timur",eng
"Handke,Peter",eng
"Kutscher,Volker",eng
"Weiss,Volkmar",eng
"Bannalec,Jean-Luc",eng
"Fitzek,Sebastian",eng
"Lenz,Siegfried",eng
"Jirgl,Reinhard",eng
"Korn,Carmen",spa
"Jacobs,Anne",spa
"Kempowski,Walter",spa
"Seethaler,Robert",tur
"Haensel,Hubert",cze
"Kasten,Mona",dut
"Köck,Thomas",pol
"Hess,Annette",fin
"Völler,Eva",dut
"Girst,Thomas",ita
"Faes,Urs",eng
"Kneidl,Laura",pol
"Kehlmann,Daniel",eng
"Kehlmann,Daniel",por
"Kehlmann,Daniel",bel
"Hess,Annette",swe
"Fricke,Lucy",fin
"Handke,Peter",dan
"Horváth,Ödönvon",cat
"Schimmelpfennig,Roland",spa
"Bomann,Corina",ita
"Doehn,UweGeorg",eng
"Rachowski,Utz",ger
"Ellmer,Arndt",cze
"Buchholz,Simone",fin
"Lacrosse,Marie",cze
"Scheuer,Norbert",dan
"Heym,Georg",rus
"Gruber,Andreas",cze
"Beele,Louisa",dut
"Cazon,Christine",rus
"Lorentz,Iny",cze
"Weber,Ilse",fry
"Williges,FabianW.",swa
"Scheuer,Norbert",dut
"Tsokos,Michael",gre
"Handke,Peter",slv
"Kafka,Franz",cze
"Walser,Robert",pol
"Bernhard,Thomas",pol
"Bach,Tabea",slv
"Haushofer,Marlen",hrv
"Fitzek,Sebastian",slo
"Link,Charlotte",cze
"Levski,MarcusE.",rus
"Kafka,Franz",chi
"Schulze,Ingo",slv
"Cavazzini,Christiane",gsw
"Enzensberger,HansMagnus",ger
"Menasse,Robert",por
"Kafka,Franz",eng
"Böll,Heinrich",por
"Hess,Annette",por
"Walser,Martin",eng
"Kling,Marc-Uwe",hun
"Kronauer,Brigitte",hun
"Dürrenmatt,Friedrich",por
"Pflüger,Andreas",eng
"Jacobs,Anne",hun
"Cavazzini,Christiane",gsw
"Simmons,Charles",ita
"Sander,Karen",ita
"Hausmann,Romy",swe
"Schimmel,Hans",gsw
"Kasten,Mona",ita
"Kasten,Mona",spa
"Kollender,Andreas",cze
"Vandenberg,Philipp",cze
"Menasse,Robert",ara
"Mann,Klaus",fre
"Mora,Terézia",dan
"Suter,Martin",eng
"Lark,Sarah",fre
"Kafka,Franz",swe
"Bernhard,Thomas",jpn
"Losacker,Wolfgang",eng
"Grigorcea,Dana",eng
"Hackl,Erich",gre
"Haderlap,Maja",hrv
"Frisch,Max",fre
"Sanzo,Francesco",ita
"Gstrein,Norbert",cze
"Menasse,Eva",ita
"Schneider,Rainer",eng
"Bernhard,Thomas",swe
"Bernhard,Thomas",ita
"Zoche,Hermann-Josef",slv
"Sternberg,Emma",ita
"Voosen,Roman",cze
"Seethaler,Robert",jpn
"Hesse,Hermann",por
"Fitzek,Sebastian",spa
"Ewers,H.G.",jpn
"Stejnar,Emil",eng
"Bewersdorff-Langlotz,Eva-Saskia",ger
"Ransmayr,Christoph",ita
"Rothmann,Ralf",swe
"Scheer,KarlH.",fre
"Capus,Alex",fre
"Bjerg,Bov",rus
"Müller,Günther",gsw
"Nikolʹska,Mėri",ger
"Schwitters,Kurt",dut
"Rath,Hans",hun
"Dürrenmatt,Friedrich",hun
"Boschwitz,UlrichAlexander",hun
"Brecht,Bertolt",spa
"Kutscher,Volker",swe
"Rothmann,Ralf",tur
"Lark,Sarah",spa
"Keun,Irmgard",dan
"Kasten,Mona",ita
"Handke,Peter",swe
"Döblin,Alfred",dut
"Döblin,Alfred",eng
"Salzmann,Marianna",eng
"Salzmann,Marianna",eng
"Bernhard,Thomas",por
"Buchholz,Simone",eng
"Walser,Robert",swe
"Unger,GertF.",cze
"Pflüger,Andreas",spa
"Winkler,Katharina",ger
"Enzensberger,Theresia",eng
"Schwitters,Kurt",dut
"Unger,GertF.",cze
"Poschmann,Marion",cze
"Toskani,Anina",fre
"Unger,GertF.",cze
"Bannalec,Jean-Luc",cze
"Bannalec,Jean-Luc",est
"Hesse,Hermann",swe
"Glaser,Brigitte",ita
"Loher,Dea",rum
"Schlink,Bernhard",ita
"Libera,Leszek",pol
"Vögel,Stefan",bul
"Thurner,MichaelMarcus",cze
"Jünger,Ernst",tur
"Multhaupt,Hermann",pol
"Unger,GertF.",cze
"Williges,FabianW.",rum
"Gruber,Andreas",slo
"Coler,Hannah",cze
"Hoffmann,E.T.A.",ger
"Tucholsky,Kurt",eng
"Walser,Robert",fre
"Unger,GertF.",cze
"Lark,Sarah",lav
"Lucas,Charlotte",ita
"Unger,GertF.",cze
"Boschwitz,UlrichAlexander",cze
"Abel,Winnie",gsw
"Safier,David",fre
"Schimmel,Hans",gsw
"Unger,GertF.",cze
"Wolf,Christa",fre
"Winter,DetlevG.",jpn
"Andreä,JohannValentin",cze
"Sternberg,Emma",fre
"Grjasnowa,Olga",eng
"Struhar,Stanislav",cze
"Bernhard,Thomas",pol
"Kernbach,Michael",cze
"Schlattner,Eginald",rum
"Unger,GertF.",cze
"Bernhard,Thomas",eng
"Mann,Thomas",cat
"Kasten,Mona",spa
"Hesse,Hermann",por
"Zeh,Juli",spa
"Brecht,Bertolt",srp
"Ransmayr,Christoph",spa
"Ransmayr,Christoph",fre
"Jeromin,Britta",eng
"Bronsky,Alina",fre
"Lark,Sarah",pol
"Segler,Tina",gsw
"Schimmel,Hans",gsw
"Spehling,Bernd",gsw
"Winkler,Josef",bul
"Hausmann,Romy",dut
"Poznanski,Ursula",pol
"Joseph,Wendy",eng
"Hochgatterer,Paulus",dut
"Haderlap,Maja",dut
"Koch,Erich",nds
"Vermes,Timur",dut
"Haratischwili,Nino",dut
"Nett,Olaf",dut
"Lark,Sarah",dut
"Neuhaus,Nele",dan
"Stramm,August",dut
"Jacobs,Anne",dut
"Kiening,Alexandra",dut
"Raabe,Melanie",dut
"Kutscher,Volker",dut
"Vermes,Timur",nor
"Hess,Annette",dut
"Anders,Günther",dut
"Goldammer,Frank",dut
"Suttner,Berthavon",dut
"Zeh,Juli",fre
"Kehlmann,Daniel",mon
"Hesse,Hermann",slo
"Hesse,Hermann",por
"George,Nina",nor
"Kutscher,Volker",dan
"Hájíček,Jiří",ger
"Gilbers,Harald",fre
"Hülsmann,Petra",fre
"Bannalec,Jean-Luc",spa
"Lüscher,Jonas",dan
"Kehlmann,Daniel",por
"Erpenbeck,Jenny",ita
"Leky,Mariana",dut
"Glen,Joanna",ger
"Melzer-Geissler,Elisabeth",ger
"Woop,Reiner",gsw
"Wening,Andreas",gsw
"Fallwickl,Mareike",dut
"Schimmel,Hans",gsw
"Schimmel,Hans",gsw
"Schimmel,Hans",gsw
"George,Nina",swe
"Schimmel,Hans",gsw
"Bekker,Alfred",pol
"Kehlmann,Daniel",tur
"Roland,Oliver",ger
"Roland,Oliver",ger
"Handke,Peter",ara
"Unger,GertF.",cze
"Menasse,Eva",dan
"Neuhaus,Nele",pol
"Schimmel,Hans",gsw
"Schimmel,Hans",gsw
"Böll,Heinrich",gre
"Marly,Michelle",ita
"Hesse,Hermann",gre
"Fontane,Theodor",dan
"Wackenroder,WilhelmHeinrich",hun
"Segler,Tina",gsw
"Mahr,Kurt",jpn
"Theißen,Gerd",spa
"Haderlap,Maja",spa
"Lark,Sarah",spa
"Lark,Sarah",spa
"Hoppe,Felicitas",spa
"Bannalec,Jean-Luc",spa
"Leky,Mariana",spa
"Fitzek,Sebastian",spa
"Kutscher,Volker",spa
"Zweig,Arnold",spa
"Jordan,Ricarda",spa
"Hillenbrand,Tom",spa
"Jacobs,Anne",spa
"Fleischhauer,Wolfram",spa
"Goga-Klinkenberg,Susanne",spa
"Jordan,Ricarda",spa
"Wolf,Daniel",spa
"Canetti,Elias",spa
"Boschwitz,UlrichAlexander",spa
"Mann,Heinrich",spa
"Proensa,Katrin",spa
"Huch,Ricarda",spa
"Kaiser,Vea",spa
"Taylor,Kathryn",spa
"Boschwitz,UlrichAlexander",cat
"Suter,Martin",spa
"Ott,Karl-Heinz",dut
"Vermes,Timur",cat
"Mann,Thomas",cat
"Walser,Robert",hun
"Berkel,Christian",gre
"Kasten,Mona",spa
"Zeh,Juli",eng
"Bomann,Corina",dan
"Tawada,Yōko",swe
"Krügel,Mareike",swe
"Krügel,Mareike",nor
"Wolf,Christa",spa
"Annas,Max",fre
"Strobel,Arno",fre
"Handke,Peter",por
"Handke,Peter",spa
"Handke,Peter",spa
"Handke,Peter",spa
"Strobel,Arno",fre
"Böll,Heinrich",spa
"Schimmel,Hans",gsw
"Schmidt,Helmut",gsw
"Baumgarten,Jürgen",gsw
"Fitzek,Sebastian",gre
"Jünger,Ernst",spa
"Arendt,Hannah",gre
"Bernhard,Thomas",spa
"Bernhard,Thomas",eng
"Ahlers,Marieta",nds
"Seethaler,Robert",dan
"Kehlmann,Daniel",ita
"Kutscher,Volker",eng
"Goethe,JohannWolfgangvon",cze
"Goethe,JohannWolfgangvon",nor
"Goethe,JohannWolfgangvon",eng
"Segler,Tina",gsw
"Kasten,Mona",ita
"Grün,Anselm",spa
"Dahn,Felix",fin
"Fried,Erich",gle
"Meier,Angelika",fre
"Iosivoni,Bianca",pol
"Iosivoni,Bianca",pol
"Iosivoni,Bianca",pol
"Kafka,Franz",swe
"Link,Charlotte",hun
"Jaeggi,Urs",fre
"Salzmann,Marianna",cat
"Lazar,Maria",dan
"Handke,Peter",dan
"Mayröcker,Friederike",eng
"Hilsenrath,Edgar",eng
"Salzmann,Marianna",ita
"Behmann,Ulrich",rum
"Zietsch,Uschi",dut
"Schimmel,Hans",gsw
"Hesse,Hermann",ger
"Bernhard,Thomas",gre
"Bernhard,Thomas",fre
"Gilbers,Harald",gre
"Hesse,Hermann",pol
"Enzensberger,HansMagnus",rus
"Kehlmann,Daniel",tur
"Menasse,Robert",hrv
"Vermes,Timur",ita
"Ransmayr,Christoph",ita
"Kutscher,Volker",cze
"Kutscher,Volker",hun
"Kutscher,Volker",ita
"Kutscher,Volker",eng
"Kutscher,Volker",dan
"Handke,Peter",srp
"Sebald,W.G.",rus
"Enzensberger,HansMagnus",rus
"Marly,Michelle",srp
"Nagele,Andrea",ita
"Roth,Joseph",bul
"Minden,InkaLoreen",pol
"Groh,Kevin",eng
"Bärfuss,Lukas",slv
"Spehling,Bernd",gsw
"Miles,William",nds
"Handke,Peter",spa
"Reinehr,Wilfried",nds
"Bonné,Mirko",est
"Burstein,Martin",eng
"Segler,Tina",gsw
"Ganser,Susanne",dut
"Buck,Vera",dut
"Kolosowa,Wlada",dut
"Kirchhoff,Bodo",dut
"Zoeke,Barbara",dut
"Seethaler,Robert",dut
"Jacobs,Anne",dut
"Molinari,Gianna",dut
"Toller,Ernst",eng
"Mahr,Kurt",jpn
"Handke,Peter",fre
"Walser,Robert",fre
"Menasse,Robert",cze
"Kempowski,Walter",eng
"Frisch,Max",tur
"Kasten,Mona",pol
"Bernhard,Thomas",spa
"Salzmann,Marianna",fre
"Lamballe,Marie",cze
"Bernhard,Thomas",eng
"Bernhard,Thomas",dut
"Hammesfahr,Petra",cze
"Menasse,Robert",swe
"Leky,Mariana",dan
"Hölderlin,Friedrich",eng
"Handke,Peter",ita
"Becker,Jurek",ita
"Molinari,Gianna",fre
"Adler,Katharina",ita
"Vosseler,NicoleC.",ita
"Seethaler,Robert",ita
"Lamballe,Marie",ita
"Pötzsch,Oliver",ita
"Rothmann,Ralf",ita
"Widmer,Urs",ita
"Fitzek,Sebastian",ita
"Pötzsch,Oliver",ita
"Pötzsch,Oliver",ita
"Dieckmann,Guido",ita
"Bernhard,Thomas",ita
"Kehlmann,Daniel",ita
"Schneider,Peter",ita
"Bomann,Corina",ita
"Koppelstätter,Lenz",ita
"Meyer,Clemens",ita
"Martin,Sabine",ita
"Boschwitz,UlrichAlexander",ita
"Kendrick,Sophie",ita
"Baumgarten,Jürgen",gsw
"Nawrat,Matthias",ita
"Aichinger,Ilse",eng
"Schimmelpfennig,Roland",ita
"Poznanski,Ursula",ita
"Koch,Erich",nds
"Brecht,Bertolt",rus
"Woop,Reiner",gsw
"Celan,Paul",bul
"Feuchtwanger,Lion",rus
"Becker,Jurek",ita
"Unger,GertF.",cze
"Kneidl,Laura",pol
"Vandenberg,Patricia",pol
"Schimmelpfennig,Roland",cze
"Flašar,MilenaMichiko",dan
"Unger,GertF.",cze
"Unger,GertF.",cze
"Riebe,Brigitte",hun
"Fontane,Theodor",ger
"Seethaler,Robert",nor
"Salten,Felix",fin
"Salten,Felix",fin
"Handke,Peter",srp
"Droste-Hülshoff,Annettevon",swe
"Weng,Joan",bul
"Wells,Benedict",lit
"Ziegler,Thomas",jpn
"Handke,Peter",fre
"Bach,Tabea",lav
"Lorentz,Iny",pol
"Stanišić,Saša",lav
"Boschwitz,UlrichAlexander",lit
"Seghers,Jan",kor
"Ungar,Hermann",dan
"Bekker,Alfred",pol
"Raabe,Marc",cze
"Würger,Takis",cze
"Hesse,Hermann",slo
"Unger,GertF.",cze
"Unger,GertF.",cze
"Turhan,Su",tur
"Frisch,Max",tur
"Rilke,RainerMaria",cze
"Capus,Alex",rus
"Haratischwili,Nino",pol
"Hillenbrand,Tom",mac
"Hillenbrand,Tom",hrv
"Knapp,Radek",hrv
"Lüscher,Jonas",hun
"Simon,Teresa",cze
"Buchholz,Simone",fin
