source_language,target_language,weight
est,fre,146
est,ita,134
est,jpn,60
est,lit,88
fre,ita,434
fre,jpn,128
fre,lit,137
ita,jpn,124
ita,lit,134
jpn,lit,59
kor,spa,71
dut,eng,328
dut,fre,381
dut,rum,107
eng,fre,430
eng,rum,114
fre,rum,124
gsw,nds,1
cze,dut,283
cze,fre,317
cze,jpn,114
cze,por,149
cze,tur,162
dut,jpn,108
dut,por,169
dut,tur,182
fre,por,182
fre,tur,202
jpn,por,72
jpn,tur,78
por,tur,110
ara,ger,35
cze,est,132
cze,eng,272
cze,heb,83
cze,ita,298
cze,spa,317
eng,heb,109
eng,ita,361
eng,spa,370
heb,ita,110
heb,spa,109
ita,spa,382
cat,cze,89
cat,dut,104
cat,eng,113
cat,fin,66
cat,fre,126
cat,heb,52
cat,hun,86
cat,kor,32
cat,nor,80
cat,swe,82
cze,fin,113
cze,hun,212
cze,kor,70
cze,nor,135
cze,swe,152
dut,fin,130
dut,heb,101
dut,hun,206
dut,kor,70
dut,nor,153
dut,swe,181
eng,fin,126
eng,hun,209
eng,kor,66
eng,nor,161
eng,swe,193
fin,fre,141
fin,heb,60
fin,hun,106
fin,kor,39
fin,nor,96
fin,swe,106
fre,heb,115
fre,hun,233
fre,kor,72
fre,nor,174
fre,swe,211
heb,hun,75
heb,kor,33
heb,nor,76
heb,swe,82
hun,kor,52
hun,nor,116
hun,swe,125
kor,nor,47
kor,swe,47
nor,swe,129
bul,cze,183
bul,dut,171
bul,eng,176
bul,fre,196
bul,ger,74
bul,gre,95
bul,hun,143
bul,ita,181
bul,jpn,74
bul,kor,46
bul,pol,156
bul,rus,148
bul,slv,109
bul,spa,197
cze,ger,85
cze,gre,139
cze,pol,262
cze,rus,219
cze,slv,139
dut,ger,76
dut,gre,155
dut,ita,343
dut,pol,263
dut,rus,203
dut,slv,141
dut,spa,345
eng,ger,116
eng,gre,158
eng,jpn,114
eng,pol,251
eng,rus,207
eng,slv,160
fre,ger,126
fre,gre,180
fre,pol,303
fre,rus,236
fre,slv,167
fre,spa,443
ger,gre,53
ger,hun,67
ger,ita,96
ger,jpn,42
ger,kor,28
ger,pol,85
ger,rus,70
ger,slv,56
ger,spa,105
gre,hun,111
gre,ita,162
gre,jpn,81
gre,kor,48
gre,pol,140
gre,rus,108
gre,slv,87
gre,spa,174
hun,ita,212
hun,jpn,76
hun,pol,196
hun,rus,158
hun,slv,112
hun,spa,217
ita,kor,82
ita,pol,275
ita,rus,228
ita,slv,158
jpn,kor,41
jpn,pol,101
jpn,rus,98
jpn,slv,69
jpn,spa,123
kor,pol,67
kor,rus,58
kor,slv,43
pol,rus,208
pol,slv,132
pol,spa,288
rus,slv,114
rus,spa,234
slv,spa,160
cze,slo,137
dut,slo,105
eng,slo,101
fre,slo,114
gre,nor,104
gre,slo,69
hun,slo,97
ita,nor,163
ita,slo,110
nor,pol,133
nor,slo,67
nor,spa,169
pol,slo,105
slo,spa,115
rum,tur,83
bul,est,95
eng,est,124
est,spa,137
dut,est,130
alb,cat,34
alb,chi,30
alb,cze,43
alb,dut,45
alb,eng,43
alb,fre,49
alb,glg,12
alb,ita,47
alb,per,20
alb,pol,40
alb,por,38
alb,spa,45
alb,tur,36
cat,chi,54
cat,glg,22
cat,ita,107
cat,per,30
cat,pol,90
cat,por,81
cat,spa,134
cat,tur,82
chi,cze,118
chi,dut,125
chi,eng,118
chi,fre,135
chi,glg,17
chi,ita,135
chi,per,30
chi,pol,108
chi,por,86
chi,spa,134
chi,tur,93
cze,glg,25
cze,per,38
dut,glg,26
dut,per,40
eng,glg,25
eng,per,43
eng,por,176
eng,tur,183
fre,glg,25
fre,per,44
glg,ita,27
glg,per,15
glg,pol,23
glg,por,22
glg,spa,26
glg,tur,21
ita,per,43
ita,por,177
ita,tur,196
per,pol,39
per,por,35
per,spa,43
per,tur,32
pol,por,140
pol,tur,165
por,spa,184
spa,tur,193
rus,slo,82
rus,tur,143
slo,tur,79
ita,rum,121
rum,rus,92
rum,slv,65
chi,heb,55
chi,kaz,1
cze,kaz,1
dut,kaz,1
fre,kaz,1
heb,kaz,1
ita,kaz,1
cat,gre,78
cat,jpn,52
cat,lit,59
cat,rum,58
cat,rus,77
cat,slo,51
cat,srp,76
chi,gre,74
chi,hun,95
chi,jpn,57
chi,kor,49
chi,lit,73
chi,nor,72
chi,rum,63
chi,rus,99
chi,slo,57
chi,srp,75
cze,lit,139
cze,rum,120
cze,srp,143
eng,lit,120
eng,srp,156
fre,srp,170
gre,lit,76
gre,por,116
gre,rum,70
gre,srp,97
gre,tur,116
hun,lit,104
hun,por,122
hun,rum,103
hun,srp,122
hun,tur,124
ita,srp,160
jpn,nor,68
jpn,rum,50
jpn,slo,50
jpn,srp,68
kor,lit,43
kor,por,50
kor,rum,43
kor,slo,39
kor,srp,45
kor,tur,61
lit,nor,85
lit,pol,125
lit,por,86
lit,rum,68
lit,rus,116
lit,slo,69
lit,spa,142
lit,srp,86
lit,tur,89
nor,por,111
nor,rum,80
nor,rus,113
nor,srp,106
nor,tur,102
pol,rum,109
pol,srp,136
por,rum,84
por,rus,125
por,slo,75
por,srp,106
rum,slo,65
rum,spa,127
rum,srp,79
rus,srp,112
slo,srp,74
spa,srp,165
srp,tur,106
gre,heb,67
lav,lit,81
bul,cat,74
bul,dan,107
bul,lav,78
bul,por,114
bul,swe,111
bul,tur,119
cat,dan,80
cat,lav,43
cat,slv,69
cze,dan,140
cze,lav,112
dan,dut,184
dan,eng,185
dan,fre,195
dan,gre,105
dan,hun,125
dan,ita,184
dan,jpn,75
dan,lav,68
dan,pol,143
dan,por,117
dan,rus,111
dan,slv,97
dan,spa,179
dan,swe,134
dan,tur,116
dut,lav,108
eng,lav,93
fre,lav,113
gre,lav,55
gre,swe,114
hun,lav,91
ita,lav,111
ita,swe,192
jpn,lav,44
jpn,swe,72
lav,pol,103
lav,por,67
lav,rus,89
lav,slv,64
lav,spa,107
lav,swe,66
lav,tur,71
pol,swe,147
por,slv,95
por,swe,121
rus,swe,122
slv,swe,92
slv,tur,101
spa,swe,196
swe,tur,121
fin,slv,79
ger,heb,47
ger,nor,58
ger,per,29
heb,per,25
heb,pol,86
heb,rus,70
heb,slv,66
nor,per,36
nor,slv,98
per,rus,34
per,slv,30
lav,slo,56
slo,slv,64
ara,arm,9
ara,baq,17
ara,bul,42
ara,cat,31
ara,chi,33
ara,cze,45
ara,dan,39
ara,dut,56
ara,eng,55
ara,fre,58
ara,gre,41
ara,heb,26
ara,hrv,37
ara,hun,43
ara,ita,60
ara,jpn,25
ara,kor,25
ara,lit,29
ara,nor,40
ara,per,21
ara,pol,47
ara,por,38
ara,rum,30
ara,rus,46
ara,slo,28
ara,slv,40
ara,spa,53
ara,srp,40
ara,swe,39
ara,tur,40
ara,ukr,21
arm,baq,10
arm,bul,15
arm,cat,14
arm,chi,11
arm,cze,14
arm,dan,15
arm,dut,15
arm,eng,17
arm,fre,17
arm,ger,9
arm,gre,13
arm,heb,9
arm,hrv,12
arm,hun,17
arm,ita,17
arm,jpn,9
arm,kor,9
arm,lit,12
arm,nor,13
arm,per,10
arm,pol,16
arm,por,13
arm,rum,12
arm,rus,14
arm,slo,13
arm,slv,14
arm,spa,17
arm,srp,13
arm,swe,13
arm,tur,15
arm,ukr,12
baq,bul,29
baq,cat,30
baq,chi,21
baq,cze,31
baq,dan,32
baq,dut,35
baq,eng,36
baq,fre,36
baq,ger,27
baq,gre,28
baq,heb,25
baq,hrv,23
baq,hun,32
baq,ita,36
baq,jpn,21
baq,kor,16
baq,lit,21
baq,nor,28
baq,per,22
baq,pol,29
baq,por,31
baq,rum,28
baq,rus,29
baq,slo,22
baq,slv,31
baq,spa,38
baq,srp,33
baq,swe,30
baq,tur,29
baq,ukr,22
bul,chi,83
bul,heb,71
bul,hrv,100
bul,lit,94
bul,nor,104
bul,per,35
bul,rum,88
bul,slo,76
bul,srp,113
bul,ukr,41
cat,ger,43
cat,hrv,59
cat,ukr,34
chi,dan,79
chi,ger,42
chi,hrv,64
chi,slv,73
chi,swe,78
chi,ukr,28
cze,hrv,123
cze,ukr,50
dan,ger,48
dan,heb,76
dan,hrv,98
dan,kor,46
dan,lit,82
dan,nor,120
dan,per,32
dan,rum,74
dan,slo,68
dan,srp,96
dan,ukr,44
dut,hrv,132
dut,lit,123
dut,srp,140
dut,ukr,48
eng,hrv,139
eng,ukr,51
fre,hrv,151
fre,ukr,51
ger,hrv,43
ger,lit,43
ger,por,51
ger,rum,51
ger,slo,43
ger,srp,57
ger,swe,60
ger,tur,48
ger,ukr,29
gre,hrv,86
gre,per,33
gre,ukr,41
heb,hrv,59
heb,jpn,44
heb,lit,55
heb,por,67
heb,rum,54
heb,slo,44
heb,srp,69
heb,tur,76
heb,ukr,31
hrv,hun,110
hrv,ita,137
hrv,jpn,58
hrv,kor,40
hrv,lit,73
hrv,nor,82
hrv,per,30
hrv,pol,133
hrv,por,89
hrv,rum,68
hrv,rus,103
hrv,slo,65
hrv,slv,89
hrv,spa,143
hrv,srp,89
hrv,swe,93
hrv,tur,96
hrv,ukr,39
hun,per,36
hun,ukr,43
ita,ukr,53
jpn,per,25
jpn,ukr,34
kor,per,22
kor,ukr,25
lit,per,29
lit,slv,80
lit,swe,86
lit,ukr,39
nor,ukr,43
per,rum,31
per,slo,25
per,srp,34
per,swe,29
per,ukr,23
pol,ukr,47
