language,greedy,authorCount
afr,2,3
alb,0,61
ara,0,83
arm,0,17
aze,0,17
baq,0,39
bas,0,1
bel,0,30
ben,0,1
bnt,0,1
bos,0,20
bre,0,4
bul,1,356
cat,2,146
chi,0,186
cze,1,758
dan,2,256
dsb,0,1
dut,1,712
eng,1,967
epo,0,20
est,0,235
fao,0,3
fin,2,192
fre,1,951
fry,0,10
geo,0,47
ger,0,568
gla,0,1
gle,0,2
glg,0,29
gre,2,232
gsw,1,26
heb,2,144
hin,0,7
hrv,2,211
hun,1,429
ice,0,27
ind,0,11
ita,1,738
jpn,2,225
kaz,1,2
kir,1,1
kor,0,120
kur,0,3
lat,0,6
lav,0,193
lit,0,232
ltz,0,2
mac,0,57
mal,0,1
may,0,3
mlt,1,1
mon,0,8
mul,2,6
nds,0,31
nno,0,1
nor,2,211
oci,0,2
per,0,53
pol,1,624
por,2,246
roh,0,9
rum,0,193
rus,1,443
sin,0,1
slo,0,194
slv,2,239
spa,1,758
srp,2,238
swa,1,1
swe,2,267
tha,0,5
tir,0,1
tur,1,295
ukr,0,66
urd,0,3
vie,0,29
wel,0,2
wln,0,1
xxx,0,6
yid,0,3
